,duration,Text,InteractionType,ID,time,segment,InteractionType1
753,47,Armsdealing 59,Mouse_hover,Armsdealing 59,4055.6,18,1
754,354,Armsdealing 59,Doc_open,Armsdealing 59,4060.4,18,5
755,114,Armsdealing 59,Reading,Armsdealing 59,4060.5,18,6
756,54,Armsdealing 59,Reading,Armsdealing 59,4073.4,18,6
757,13,Armsdealing 86,Mouse_hover,Armsdealing 86,4078.9,18,1
758,19,Armsdealing 83,Mouse_hover,Armsdealing 83,4096.7,18,1
759,81,Armsdealing 83,Doc_open,Armsdealing 83,4099.7,18,5
760,8,Armsdealing 86,Mouse_hover,Armsdealing 86,4108.2,18,1
761,13,Armsdealing 37,Mouse_hover,Armsdealing 37,4109.1,18,1
762,6,Armsdealing 38,Mouse_hover,Armsdealing 38,4110.4,18,1
763,128,Armsdealing 38,Doc_open,Armsdealing 38,4113.2,18,5
764,7,Armsdealing 39,Mouse_hover,Armsdealing 39,4126.3,18,1
765,121,Armsdealing 39,Doc_open,Armsdealing 39,4127.1,18,5
766,143,Armsdealing 40,Doc_open,Armsdealing 40,4140.1,18,5
767,7,Armsdealing 41,Mouse_hover,Armsdealing 41,4154.8,18,1
768,230,Armsdealing 41,Doc_open,Armsdealing 41,4155.6,18,5
769,21,Armsdealing 41,Reading,Armsdealing 41,4155.7,18,6
770,449,Armsdealing 42,Doc_open,Armsdealing 42,4179.5,18,5
771,9,Armsdealing 42,Reading,Armsdealing 42,4179.6,18,6
772,6,Armsdealing 13,Mouse_hover,Armsdealing 13,4180.7,18,1
773,6,Armsdealing 38,Mouse_hover,Armsdealing 38,4182.1,18,1
774,6,Armsdealing 37,Mouse_hover,Armsdealing 37,4182.7,18,1
775,7,Armsdealing 36,Mouse_hover,Armsdealing 36,4183.3,18,1
776,52,Armsdealing 11,Mouse_hover,Armsdealing 11,4184.0,18,1
777,17,Armsdealing 42,Reading,Armsdealing 42,4189.6,18,6
778,5,Armsdealing 42,Reading,Armsdealing 42,4191.7,18,6
779,30,Armsdealing 42,Reading,Armsdealing 42,4192.2,18,6
780,7,Armsdealing 83,Mouse_hover,Armsdealing 83,4198.5,18,1
781,237,Armsdealing 91,Mouse_hover,Armsdealing 91,4199.8,18,1
783,0, Looking for evidence of sickness (type 3) [top-down],Topic_change,top-down,4236.2,18,3
784,10,sick,Search,0,4239.7,18,2
785,11,Armsdealing 95,Draging,Armsdealing 95,4245.1,19,4
786,353,Armsdealing 95,Doc_open,Armsdealing 95,4246.9,19,5
787,10,Armsdealing 95,Reading,Armsdealing 95,4247.0,19,6
788,14,Armsdealing 95,Draging,Armsdealing 95,4247.6,19,4
790,19,Armsdealing 95,Draging,Armsdealing 95,4283.5,19,4
791,9,Armsdealing 95,Mouse_hover,Armsdealing 95,4286.4,19,1
